Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
7,South,42,6137,2013,0,0,1,"Clear Gold",,12258,PI,589224,.08,NULL,USDA,538,dessert
17,North,40,5036,2013,0,0,0,Cleopatra,,19127,PI,589705,.07,NULL,USDA,399,cider
18,South,56,5038,2013,0,0,0,Cleopatra,,19127,PI,589705,.07,NULL,USDA,399,cider
19,North,39,2260,2013,0,0,0,Clivia,,257104,PI,344550,.06,NULL,USDA,154,dessert
12,South,34,2261,2013,0,0,0,Clivia,,257104,PI,344550,.06,NULL,USDA,154,dessert
14,North,58,6041,2013,0,0,0,"Coast Apple",,260647,PI,349324,.09,NULL,USDA,508,dessert
19,South,8,6042,2013,0,0,0,"Coast Apple",,260647,PI,349324,.09,NULL,USDA,508,dessert
7,North,22,5207,2013,0,0,0,"Coconut Crunch",,21332,PI,589853,.05,NULL,USDA,456,dessert
19,South,33,5209,2013,0,0,0,"Coconut Crunch",,21332,PI,589853,.05,NULL,USDA,456,dessert
14,North,30,5103,2013,0,0,1,"Coe's Golden Drop",,200103,PI,264556,.10,NULL,USDA,421,dessert
4,South,25,5104,2013,0,0,1,"Coe's Golden Drop",,200103,PI,264556,.10,NULL,USDA,421,dessert
2,North,57,6214,2013,0,0,0,Cole,,133811,PI,129820,.11,NULL,USDA,564,cider
6,South,18,6216,2013,0,0,0,Cole,,133811,PI,129820,.11,NULL,USDA,564,cider
18,North,31,5189,2013,0,0,1,"Collamer Twenty Ounce",,11269,PI,589191,.12,NULL,USDA,450,cider
13,South,8,5191,2013,0,0,1,"Collamer Twenty Ounce",,11269,PI,589191,.12,NULL,USDA,450,cider
1,North,7,6064,2013,0,0,0,Collet,,17412,PI,589470,.05,NULL,USDA,516,cider
17,South,54,6065,2013,0,0,0,Collet,,17412,PI,589470,.05,NULL,USDA,516,cider
11,North,30,4280,2013,0,0,0,"Collins June",,10359,PI,589149,.06,NULL,USDA,367,dessert
1,South,53,4281,2013,0,0,0,"Collins June",,10359,PI,589149,.06,NULL,USDA,367,dessert
12,North,16,6155,2013,0,0,0,Conrad,,14753,PI,589330,.09,NULL,USDA,544,dessert
13,South,23,6156,2013,0,0,0,Conrad,,14753,PI,589330,.09,NULL,USDA,544,dessert
17,North,39,4337,2013,0,0,0,"Coombs Wealthy",,11179,PI,589188,.09,NULL,USDA,386,cider
2,South,59,4338,2013,0,0,0,"Coombs Wealthy",,11179,PI,589188,.09,NULL,USDA,386,cider
16,North,10,5177,2013,0,0,0,"Cornish Gilliflower",,8183,PI,589065,.09,NULL,USDA,446,dessert
13,South,53,5178,2013,0,0,0,"Cornish Gilliflower",,8183,PI,589065,.09,NULL,USDA,446,dessert
5,North,46,2194,2013,0,0,0,Cortland,,3780,PI,588848,.17,NULL,USDA,134,dessert
8,South,38,2195,2013,0,0,0,Cortland,,3780,PI,588848,.17,NULL,USDA,134,dessert
14,North,32,5159,2013,0,0,1,"Court Pendu",,18373,PI,589601,.07,NULL,USDA,440,cider
1,North,1,5160,2013,1,0,1,"Court Pendu",,18373,PI,589601,.07,NULL,USDA,440,cider
3,South,14,5161,2013,0,0,1,"Court Pendu",,18373,PI,589601,.07,NULL,USDA,440,cider
